Evaluator,Reviewer 1,Reviewer 2,id,viewcount,title,body,tags,answercount,url,Irrelevant,Category,Main Problem
P,M,,4208147,238,"Naming standards for web development, eg. form fields, css class, javascript variables","<p>I work for a company which has multiple websites, all of sites somehow share some kind of common code. Recently I am working on a project to revamp the UI of a particular website, here are some the problems I have faced:</p>

<ol>
<li><p>I started to ""web parts"" concept to pull content from different page via ajax. However I have name/id clashes. Eg. the main page has a tag , and the web part that I am pulling over also has a tag </p></li>
<li><p>There are more than 1 guy writing javascripts, sometimes writing library code, sometimes writing page specific code. And we have naming clashes... </p></li>
</ol>

<p>I was thinking to standardize the naming convention to something like this: global variables will have ""global_"" prefixes, page specific code should have ""[pagename]_"" prefixes(however, we will see a lot of clashes for index.html)</p>

<p>Hence I am asking if anyone has a pretty solid standardization to share with?</p>

<p>Thanks in advance.</p>

<p>James</p>",naming conventions standards,2,https://stackoverflow.com/questions/4208147,1,,
P,M,,5819220,218,Should I capture email addresses in lowercase in an uppercase system?,"<p>Your opinions please.</p>

<p>In our system the decision was made that all fields (except notes) will be forced into uppercase. I don't like it, but the system's intended users aren't very computer literate, so for line-of-business use I suppose it is acceptable.</p>

<p>When it comes to email addresses however, would you also force them into uppercase, against the lowercase convention?</p>",user-interface conventions casing,2,https://stackoverflow.com/questions/5819220,1,,
P,M,,12455994,207,Setup nHibernate to get translations,"<p>Im trying to set up NHibernate to get translations depending on witch languageId i provide.</p>

<p>I have a class that look something like this:</p>

<pre></pre>

<p>My Translate Attribute looks like this:</p>

<pre></pre>

<p>I also have a thing that know what Language i am currently using:</p>

<pre></pre>

<p>I would like to setup nhibernate with conventions so when fetching anything that has a property that has the Translate-attribute it should Query against my Translations-table like this for each property (or maybe get all translations at once):</p>

<pre></pre>

<p>And set the result it gets back to its property it is getting the translation for.</p>

<p>Is this possible? and how do i implement this?</p>

<p>Im using nHibernate 3.3.1.4000 and Fluent NHibernate 1.3.0.733</p>",c# nhibernate conventions,1,https://stackoverflow.com/questions/12455994,1,,
P,M,,4879344,199,CSS Ordering Convention for which tags to specify first,"<p>I typically place the rules in my CSS in the same order as they are in the HTML. But what about global rules like how I format my ,,,, and stuff like that? Is there a convention on which order the rules should go in?</p>

<p>Obviously there are situations when the rules have to be in a certain order to work.</p>",css conventions,3,https://stackoverflow.com/questions/4879344,1,,
P,M,,42796092,193,What is the convention to name a (case) class with long parameter values?,"<p>If I have a or whose parameters are long enough to not fit in a single line like:</p>

<pre></pre>

<p>To improve readability, how should it be splitted into several lines? Is there a convention for this in <strong>Scala</strong>?</p>",scala conventions,1,https://stackoverflow.com/questions/42796092,1,,
P,M,,47865859,144,"API naming Conventions, same resource noun in the URI","<p>I'm working on a project for a mobile device, and trying to keep to an API standard as this will be a an API used by others.
Is it appropriate to use the same resource noun in the same resource URI?</p>

<p>For example, for an API that will check if a particular device should be blacklisted from our service:
<strong>v1.0/device/blacklist/device/</strong></p>

<p>Is it appropriate to use <strong>device</strong> twice here? I can't seem to find anywhere that mention if this is an appropriate thing to do for API naming conventions.
Thanks.</p>",rest api mobile naming conventions,2,https://stackoverflow.com/questions/47865859,1,,
P,M,,48608688,106,Are global variables as frowned upon in embeded systems programming (C)?,"<p>I learned years ago, that in the application world, global variables are a ""bad"" or ""frowned upon"", so it became a habit to try to avoid them and use them very scarcely.</p>

<p>Seems like that in the embedded world they are almost unavoidable when it comes to working with hardware interrupts. They also have to be made volatile so that the compiler does not optimize them out if it sees them never being touched in the running program.</p>

<p>Are both of these statements true ? is there a way to avoid those variables in the case I described without bending too far backward ?</p>",variables static coding-style embedded conventions,1,https://stackoverflow.com/questions/48608688,1,,
P,M,,16705589,87,"What is the prefered term for a Model, View and Controller when referencing all 3","<p>If each of the Model, the view and the controller, can be referred to as objects, or components, or classes, what term would you use to refer to the 3 of them together?
I think wouldn't be a package, because, a package can contain several of these, whacha-ma-call-its. 
So if I have:
""person"" which is made up of the classes: 
 personM which is the Model
 personC Which is the Controller
 presonV which is the View
What term do I use to describe the person MVC?</p>

<p>This crossed my mind recently and I can't think of what it would be, but it seems that there should be a way to refer to them.</p>

<p>Also would this term still cover the addition of a data-store, and template? or other extensions to the pattern?</p>

<p>(If a term isn't clearly defined, I would hope that this thread could be used to find/create one).</p>

<p>And Thanks in advance! (even if you've only considered the question)</p>",design-patterns model-view-controller terminology conventions,1,https://stackoverflow.com/questions/16705589,1,,
P,M,,24663910,86,Are private fields needed in a class where no methods exist?,"<p>I've been using ReSharper to do some work on cleaning up a C# codebase. I had been using both private fields in model classes along with public properties. However, I'm finding that I can simply take the properties that have no backing fields and convert them into auto-properties. These are model classes; no methods exist within them to impact the data in the objects. Is it better to just use the auto-properties?</p>

<p>EDIT: Including example of ""Backing fields""</p>

<pre></pre>",c# oop syntax resharper conventions,3,https://stackoverflow.com/questions/24663910,1,,
P,M,,7536786,75,Request size vs Server load,"<p>I was writing the spec on how to organize the query parameters that are sent in a HTTP Request, and I came up with the following:</p>

<p>All parameters a prefixed with the entity to which they belong, an example ""a.b"", which is read ""b of entity a"", that way each parameter would be clearly mapped to the corresponding entity, but what if there were two different entities that share a query paramater?, to avoid repetition and request size I came up with the following micro format. To have a request wide entity called each property of will represent a property that is shared among entities, e.g.</p>

<pre>

</pre> 

<p>Here it is clear that property is shared among and so this could be sent as </p>

<pre></pre>

<p>Now, the request is smaller and I'm being a bit more <a href=""http://en.wikipedia.org/wiki/Don%27t_repeat_yourself"" rel=""nofollow"">DRY</a>, however this adds an extra burden to the server as it has to parse the string to process the values. </p>

<p>Probably in my example the differences are insignificant and I could chose either, but I'd like to know what do you think about it, what would you prefer, maybe the size of the request does not matter, or maybe the parsing of the string is not such a big deal when the length is short, but what happens when we scale the size of both the request and string which one would be better, what are the tradeoffs?</p>",performance http parsing httprequest conventions,2,https://stackoverflow.com/questions/7536786,1,,
